"State","GDP"
"Alabama",309543.8
"Alaska",68232.7
"Arizona",530105
"Arkansas",178114.8
"California",3827007.3
"Colorado",533268.6
"Connecticut",341851.8
"Delaware",103332.5
"Florida",1624642.3
"Georgia",835755.3
"Hawaii",111740.2
"Idaho",120588.1
"Illinois",1100794.1
"Indiana",496849.5
"Iowa",253166.5
"Kansas",224851.3
"Kentucky",283267.7
"Louisiana",318044.3
"Maine",93743.8
"Maryland",515035.9
"Massachusetts",737867.4
"Michigan",676030.8
"Minnesota",483222
"Mississippi",151511.9
"Missouri",428887.3
"Montana",74690.3
"Nebraska",183780.9
"Nevada",253443.3
"New Hampshire",114427.8
"New Jersey",806894
"New Mexico",138526
"New York",2182549
"North Carolina",794838
"North Dakota",77898.1
"Ohio",883957.1
"Oklahoma",255933.2
"Oregon",314895
"Pennsylvania",966444
"Rhode Island",76313.5
"South Carolina",332946.8
"South Dakota",74458.8
"Tennessee",531246.8
"Texas",2637237.6
"Utah",283230.8
"Vermont",43931.6
"Virginia",722767.4
"Washington",801455.5
"West Virginia",101479.9
"Wisconsin",431913.9
"Wyoming",51350.1
"New England",1408135.9
"Mideast",4748506.1
"Great Lakes",3589545.5
"Plains",1726264.9
"Southeast",6184158.9
"Southwest",3561801.9
"Rocky Mountain",1063127.8
"Far West",5376774
