"State","Income"
"Mississippi","54,915"
"West Virginia","57,917"
"Arkansas","58,773"
"Louisiana","60,023"
"Alabama","62,027"
"New Mexico","62,125"
"Kentucky","62,417"
"Oklahoma","63,603"
"South Carolina","66,818"
"Tennessee","67,097"
"Missouri","68,920"
"Ohio","69,680"
"North Carolina","69,904"
"Montana","69,922"
"Indiana","70,051"
"Michigan","71,149"
"Florida","71,711"
"Maine","71,773"
"South Dakota","72,421"
"Kansas","72,639"
"Iowa","73,147"
"Idaho","74,636"
"Georgia","74,664"
"Wyoming","74,815"
"Nebraska","74,985"
"Nevada","75,561"
"Wisconsin","75,670"
"North Dakota","75,949"
"Pennsylvania","76,081"
"Texas","76,292"
"Arizona","76,872"
"Vermont","78,024"
"Oregon","80,426"
"Illinois","81,702"
"Delaware","82,855"
"New York","84,578"
"Rhode Island","86,372"
"Minnesota","87,556"
"Alaska","89,336"
"Virginia","90,974"
"Utah","91,750"
"Colorado","92,470"
"Connecticut","93,760"
"Washington","94,952"
"New Hampshire","95,628"
"California","96,334"
"Hawaii","98,317"
"New Jersey","101,050"
"Massachusetts","101,341"
"Maryland","101,652"
"",""
"Suggested Citation:",""
"HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 4/29/2026. Available from https://hdpulse.nimhd.nih.gov",""
"",""
"Notes:",""
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity.",""
"Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).",""
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income.",""
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]",""
