"State","Total_Sales","Total_Profit","Total_Quantity","Income","Unemployment","GDP"
"Alabama",19511,5786.8253,256,"62,027",2.7,309543.8
"Arizona",35283,-3427.9246,862,"76,872",4.6,530105
"Arkansas",11678,4008.6871,240,"58,773",4.4,178114.8
"California",457731,76381.3871,7667,"96,334",5.4,3827007.3
"Colorado",32110,-6527.8579,693,"92,470",3.9,533268.6
"Connecticut",13386,3511.4918,281,"93,760",4.7,341851.8
"Delaware",27453,9977.3748,367,"82,855",5.4,103332.5
"Florida",89479,-3399.3017,1379,"71,711",4.6,1624642.3
"Georgia",49103,16250.0433,705,"74,664",3.6,835755.3
"Idaho",4380,826.7231,64,"74,636",3.7,120588.1
"Illinois",80162,-12607.887,1845,"81,702",5,1100794.1
"Indiana",53549,18382.9363,578,"70,051",3.3,496849.5
"Iowa",4577,1183.8119,112,"73,147",3.4,253166.5
"Kansas",2916,836.4435,74,"72,639",3.9,224851.3
"Kentucky",36598,11199.6966,523,"62,417",4.2,283267.7
"Louisiana",9219,2196.1023,156,"60,023",4.3,318044.3
"Maine",1270,454.4862,35,"71,773",3.2,93743.8
"Maryland",23707,7031.1788,420,"101,652",4.3,515035.9
"Massachusetts",28639,6785.5016,491,"101,341",4.8,737867.4
"Michigan",76281,24463.1876,946,"71,149",5,676030.8
"Minnesota",29865,10823.1874,331,"87,556",4.5,483222
"Mississippi",10772,3172.9762,221,"54,915",3.7,151511.9
"Missouri",22207,6436.2105,252,"68,920",3.9,428887.3
"Montana",5589,1833.3285,56,"69,922",3.6,74690.3
"Nebraska",7464,2037.0942,136,"74,985",3.1,183780.9
"Nevada",16729,3316.7659,168,"75,561",5.3,253443.3
"New Hampshire",7294,1706.5028,127,"95,628",3.2,114427.8
"New Jersey",35763,9772.9138,454,"101,050",5.1,806894
"New Mexico",4779,1157.1161,151,"62,125",4.7,138526
"New York",310914,74038.5486,4224,"84,578",4.6,2182549
"North Carolina",55604,-7490.9122,983,"69,904",3.8,794838
"North Dakota",920,230.1497,30,"75,949",2.6,77898.1
"Ohio",78253,-16971.3766,1759,"69,680",4.2,883957.1
"Oklahoma",19686,4853.956,247,"63,603",3.9,255933.2
"Oregon",17431,-1190.4705,499,"80,426",5.2,314895
"Pennsylvania",116522,-15559.9603,2153,"76,081",4.2,966444
"Rhode Island",22629,7285.6293,199,"86,372",4.6,76313.5
"South Carolina",8483,1769.0566,172,"66,818",5,332946.8
"South Dakota",1317,394.8283,42,"72,421",2.3,74458.8
"Tennessee",30662,-5341.6936,681,"67,097",3.6,531246.8
"Texas",170187,-25729.3563,3724,"76,292",4.3,2637237.6
"Utah",11223,2546.5335,219,"91,750",3.8,283230.8
"Vermont",8929,2244.9783,50,"78,024",2.6,43931.6
"Virginia",70641,18597.9504,893,"90,974",3.7,722767.4
"Washington",138656,33402.6517,1883,"94,952",5.1,801455.5
"West Virginia",1209,185.9216,18,"57,917",4.7,101479.9
"Wisconsin",32125,8401.8004,463,"75,670",3.4,431913.9
"Wyoming",1603,100.196,4,"74,815",3.6,51350.1
